label_family,annotations,docs
payment_mechanics,518,116
interest,346,114
currency,217,90
events_of_default,334,74
governing_law,114,71
fees,133,69
disbursement,263,69
acceleration,118,68
conditions_precedent,245,66
commitment,81,66
information_covenants,116,62
use_of_proceeds,115,57
purpose,105,56
dispute_resolution,150,55
amendment_waiver,187,54
negative_pledge,108,51
books_records,94,42
sovereign_immunity,91,41
redemption,106,38
indebtedness_definition,82,37
collective_action,111,37
additional_amounts,93,35
pari_passu,35,29
trustee_duties,97,20
(unmapped),2392,120
